"","Initials.Entered","Date.Entered","Call_Number","SiteCode","Latitude","Longitude","Date","Year","Cape","SubstrateType","Zone","Transect","Quadrat","TotalUrchins","PittedUrchins","CreviceUrchins","OpenUrchins","JuvenileUrchins","PittedJuveniles","RecruitUrchins","RedUrchins","EmptyPits","PitsPresent","UrchinSize1","UrchinSize2","UrchinSize3","UrchinSize4","UrchinSize5","Attached.red.drift","Attached.brown.drift","Attached.green.drift","Attached.phyllospadix.drift","Attached.other.drift","TotalAttachedDrift","Algae.holdfasts","Understory.algae","Emphermal.Greens","Surfgrass.rhizomes","Coralline.crusts","Red.and.Brown.crusts","Sessile.invertebrates","Sand","Bare.rock","Total.primary.cover..must.equal.100..","Egregia","Hedophyllum","Mastocarpus","Laminaria","Alaria","Mazzaella","Costaria","Phyllospadix..Surfgrass.","Nereocystis","Pyropia","Lessoniopsis","Fucus","Diatom","Total.Canopy","MeanTest"
"1","LU","6/18/24","SB_2024_AZ_1_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,1,10,10,0,0,0,NA,NA,0,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,78,0,0,2,0,0,0,12,100,4,32,0,0,0,8,2,0,0,0,0,0,0,46,NA
"2","LU","6/18/24","SB_2024_AZ_1_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,2,28,28,0,0,1,NA,NA,0,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,38,2,0,6,0,0,0,54,100,0,0,0,0,0,8,0,0,0,0,0,0,0,8,NA
"3","LU","6/18/24","SB_2024_AZ_1_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,3,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,95,0,0,0,0,0,0,0,100,10,4,5,0,0,36,0,0,0,0,0,5,0,60,NA
"4","LU","6/18/24","SB_2024_AZ_1_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,4,0,0,0,0,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,89,5,0,0,0,0.1,1,0,100,2,9,5,0,0,20,0,0,0,0,0,0,0,36,NA
"5","LU","6/18/24","SB_2024_AZ_1_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,5,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,81,7,0,0,4,1,2,3,100,0,5,0,0,0,5,0,0,0,0,0,2,0,12,NA
"6","LU","6/18/24","SB_2024_AZ_2_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,1,1,1,0,0,0,NA,NA,0,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89,0,0,1,0,0,1,7,100,0,6,2,0,0,36,0,0,0,0,0,0,0,44,NA
"7","LU","6/18/24","SB_2024_AZ_2_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,2,25,25,0,0,0,NA,NA,0,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0,0,17,1,1,0,48,100,14,0,0,0,0,6,0,0,0,0,0,0,0,20,NA
"8","LU","6/18/24","SB_2024_AZ_2_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,3,11,11,0,0,0,NA,NA,0,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,68,0,0,9,2,0,0,14,100,0,24,0,0,0,12,0,0,0,0,0,0,0,36,NA
"9","LU","6/18/24","SB_2024_AZ_2_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,4,15,15,0,0,0,NA,NA,0,10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,0,0,13,4,1,1,53,100,3,10,0.1,0,0,16,0,0,0,0,0,0,0,29.1,NA
"10","LU","6/18/24","SB_2024_AZ_2_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,5,10,10,0,0,0,NA,NA,0,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,59,0,0,6,6,1,0,18,100,28,35,0,0,0,20,0,0,0,0,0,0,0,83,NA
"11","LU/DJC","6/25/24","SB_2024_UPZ_1_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VB","UPZ",1,1,25,25,0,0,2,NA,NA,0,28,54,5.6,3.1,4.2,3.9,3.8,"1","0","0","2","1",4,0,32,0,0,6,0,1,20,41,100,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4.12
"12","LU/DJC","6/25/24","SB_2024_UPZ_1_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",1,2,59,59,0,0,1,NA,NA,0,5,64,3,3,4.2,3.7,5.3,"1","0","0","1","1",3,0,7,0.1,0,22,4,0,0,67,100,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,3.84
"13","LU/DJC","6/25/24","SB_2024_UPZ_1_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","UPZ",1,3,48,48,0,0,2,NA,NA,0,7,55,4.6,4.7,4,4.4,4.8,"0","1","0","1","0",2,0,3,0,0,12,0,0,1,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
"14","LU/DJC","6/25/24","SB_2024_UPZ_1_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","UPZ",1,4,53,53,0,0,3,NA,NA,0,12,67,3.6,4.3,4.6,3.4,4,"0","0","0","1","0",1,0,0,0,0,20,0,4,2,74,100,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.98
"15","LU/DJC","6/25/24","SB_2024_UPZ_1_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","UPZ",1,5,62,62,0,0,1,NA,NA,0,8,71,4,3.7,3.3,3.7,3.4,"0","1","0","2","0",3,1,8,0,0,20,0,1,1,69,100,0,4,0,0,0,1,0,0,0,0,0,0,0,5,3.62
"16","LU/DJC","6/25/24","SB_2024_UPZ_2_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,1,41,41,0,0,1,NA,NA,0,6,52,5.1,4.2,3.8,4,4.2,"1","0","0","1","0",2,0,5,1,0,15,1,0,0,78,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26
"17","LU/DJC","6/25/24","SB_2024_UPZ_2_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,2,46,46,0,0,0,NA,NA,0,6,52,3.7,4,4.1,5.4,2.2,"0","0","0","0","1",1,0,5,1,0,15,1,0,0,78,100,0,1,0,2,0,3,1,0,0,0,0,0,0,7,3.88
"18","LU/DJC","6/25/24","SB_2024_UPZ_2_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,3,48,48,0,0,0,NA,NA,0,7,55,4.2,4,4.4,4.1,3.8,"0","0","0","1","0",1,0.1,9,0.1,0,9,0,0,3,79,100,0,0,0,0,0,2,1,0,0,0,0,0,0,3,4.1
"19","LU/DJC","6/25/24","SB_2024_UPZ_2_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,4,53,53,0,0,1,NA,NA,0,5,58,4,3,4.4,4.8,3.8,"0","0","1","1","0",2,0,6,0,0,8,0,0,3,83,100,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4
"20","LU/DJC","6/25/24","SB_2024_UPZ_2_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,5,45,45,0,0,1,NA,NA,0,5,50,3.5,3.4,3.4,3.8,3.4,"0","1","0","1","0",2,1,10,0,0,10,0,1,0.1,79,100,0,4,2,0,0,0,0,0,0,0,0,0,0,6,3.5
"21","LU/DJC","6/25/24","SB_2024_NPZ_1_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,1,44,43,0,1,4,NA,NA,0,1,45,4.7,4.2,3.5,4.5,3.8,"0","0","0","1","0",1,0,2,0,0,8,0,0,7,83,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14
"22","LU/DJC","6/25/24","SB_2024_NPZ_1_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,2,36,26,2,8,2,NA,NA,0,3,31,5.9,5.4,7.1,5.4,2.7,"0","2","0","1","0",3,0,2,0,0,12,2,1,0,83,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.3
"23","LU/DJC","6/25/24","SB_2024_NPZ_1_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,3,35,29,4,2,0,NA,NA,0,1,30,4.2,5.6,4.6,5.7,5.5,"0","0","0","1","0",1,0,10,0,0,32,5,1,0,52,100,20,0,0,20,0,0,0,0,0,0,0,0,0,40,5.12
"24","LU/DJC","6/25/24","SB_2024_NPZ_1_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,4,2,2,0,0,0,NA,NA,0,0,2,1.9,2.8,4,3.8,3.3,"0","0","0","0","0",0,4,35,3,0,3,0,0,0,59,100,3,10,0,14,0,0,14,0,5,0,0,0,0,46,3.16
"25","LU/DJC","6/25/24","SB_2024_NPZ_1_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,5,23,23,0,0,0,NA,NA,0,5,28,4.6,5.4,3.8,4.1,3.6,"0","0","0","1","0",1,0.1,23,0,0,11,0,0,1,65,100,11,0,0,9,0,1,6,0,0,0,0,0,0,27,4.3
"26","LU/DJC","6/25/24","SB_2024_NPZ_2_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,1,29,20,8,1,0,NA,NA,0,0,27,4.2,5.3,4.2,4.5,3.5,"0","0","0","0","0",0,1,40,0,0,8,4,4,0,44,100,0,0,0,0,0,20,0.1,0,0,0,0,0,0,20.1,4.34
"27","LU/DJC","6/25/24","SB_2024_NPZ_2_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,2,53,48,5,0,0,NA,NA,0,2,50,3.2,3.3,4.3,3.5,5.2,"0","0","0","0","0",0,0,15,0,0,14,1,0,0,70,100,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,3.9
"28","LU/DJC","6/25/24","SB_2024_NPZ_2_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,3,28,21,6,1,3,NA,NA,0,3,24,3,4,4.6,3.6,4.4,"1","0","0","1","0",2,1,25,0,0,24,6,0,9,36,100,0,0,0,0,0,0.1,6,0,0,0,0,0,0,6.1,3.92
"29","LU/DJC","6/25/24","SB_2024_NPZ_2_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,4,28,23,4,1,0,NA,NA,0,2,22,5.4,6.1,5.7,5.6,6.3,"0","0","0","2","0",2,0,10,0,0,12,3,0,7,68,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82
"30","LU/DJC","6/25/24","SB_2024_NPZ_2_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,5,20,17,3,0,0,NA,NA,0,0,17,3.5,4.4,3.4,3.9,4,"0","0","0","1","0",1,0,33,0,0,9,5,4,1,48,100,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3.84
"31","LU","7/10/24","SC_2024_AZ_1_1","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","AZ",1,1,0,0,0,0,0,NA,NA,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,63,19,1,4,1,0,12,0,100,0,0,0,0,0,11,0,2,0,0,0,0,0,13,NA
"32","LU","7/10/24","SC_2024_AZ_1_2","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","AZ",1,2,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,10,0,4,2,0,16,3,100,96,0,0,0,0,0,0,0,0,0,0,0,0,96,NA
"33","LU","7/10/24","SC_2024_AZ_1_3","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","AZ",1,3,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,3,11,0,0,0,71,0,100,0,0,5,0,0,3,0,72,0,0,0,0,0,80,NA
"34","LU","7/10/24","SC_2024_AZ_1_4","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","AZ",1,4,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11,24,2,0,0,51,0,100,0,0,0,0,0,10,0,41,0,0,0,0,0,51,NA
"35","LU","7/10/24","SC_2024_AZ_1_5","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","AZ",1,5,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,73,15,0,1,8,0,2,1,100,0,0,39,0,0,18,0,0,0,0,0,0,0,57,NA
"36","LU","7/10/24","SC_2024_AZ_2_1","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","AZ",2,1,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,78,0,0,10,2,3,0,7,100,0,0,44,0,0,25,0,0,0,0,0,0,0,69,NA
"37","LU","7/10/24","SC_2024_AZ_2_2","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","AZ",2,2,2,2,0,0,0,0,NA,0,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,87,0,0,9,3,1,0,0,100,0,0,12,0,0,15,0,0,0,0,0,0,0,27,NA
"38","LU","7/11/24","SC_2024_AZ_2_3","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","AZ",2,3,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,0,0,8,3,0,0,40,100,0,0,1,0,0,36,0,0,0,0,0,0,0,37,NA
"39","LU","7/11/24","SC_2024_AZ_2_4","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","AZ",2,4,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,0,0,2,2,0.1,0,6,100,0,0,0.1,0,0,36,0,0,0,0,0,0,0,36.1,NA
"40","LU","7/11/24","SC_2024_AZ_2_5","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","AZ",2,5,0,0,0,0,0,0,NA,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,88,0,0,8,2,0,0,2,100,0,0,6,0,0,80,0,0,0,0,0,0,0,86,NA
"41","LU","7/11/24","SC_2024_UPZ_1_1","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","UPZ",1,1,61,58,0,3,5,1,NA,0,15,72,2.8,3.7,3,4,3.2,"1","0","0","1","0",2,0,9,2,0,21,0,1,8,59,100,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,3.34
"42","LU","7/11/24","SC_2024_UPZ_1_2","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","UPZ",1,2,18,18,0,0,2,0,NA,0,11,29,3,4.5,4,3.3,3.9,"1","0","0","1","0",2,0,8,0.1,0,10,0,1,81,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74
"43","LU","7/11/24","SC_2024_UPZ_1_3","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","UPZ",1,3,33,33,0,0,12,1,NA,0,21,54,4,4.4,2.9,3.3,4,"2","1","0","3","0",6,0,0,0,0,17,0,0,13,70,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72
"44","LU","7/11/24","SC_2024_UPZ_1_4","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","UPZ",1,4,35,35,0,0,1,0,NA,0,1,36,4.8,3.3,3.8,4.1,3.2,"2","0","0","3","0",5,0,7,4,0,4,0,2,13,70,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84
"45","LU","7/11/24","SC_2024_UPZ_1_5","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","UPZ",1,5,7,7,0,0,0,0,NA,0,13,20,3.2,3.7,4.4,4.8,4.1,"1","0","1","1","0",3,0,20,12,0,6,2,0,14,46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04
"46","LU","7/11/24","SC_2024_UPZ_2_1","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","UPZ",2,1,20,8,7,5,0,0,NA,0,5,13,3.6,4.2,3.4,4.5,4.3," "," "," "," "," ",0,5,25,0,0,13,11,3,0,0,52,0,7,0,0,0,0,0,0,0,0,0,0,0,7,4
"47","LU","7/11/24","SC_2024_UPZ_2_2","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","UPZ",2,2,14,1,9,4,0,NA,NA,0,1,2,5,4.6,3.4,3.7,3.4,"1","0","1","0","0",2,1,50,0,0,1,0,0,0,49,100,0,0,0,0,6,0,0,0,0,0,0,0,0,6,4.02
"48","LU","7/11/24","SC_2024_UPZ_2_3","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","UPZ",2,3,50,49,0,1,5,0,NA,0,2,52,4.2,3.8,5.3,3.7,4.1,"1","0","0","3","0",4,0.1,14,0.1,0,12,0,1,0,73,100,0,0,NA,0,2,4,0,0,0,0,0,0,0,6,4.22
"49","LU","7/11/24","SC_2024_UPZ_2_4","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","UPZ",2,4,16,16,0,0,0,0,NA,0,2,18,4.6,4.9,4.1,4.1,5,"0","1","0","0","0",1,0,44,2,0,12,2,1,0,39,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54
"50","LU","7/11/24","SC_2024_UPZ_2_5","SC",43.3032,-124.3974,"6/24/24",2024,"CA","FB","UPZ",2,5,21,21,0,0,2,0,NA,0,2,23,4.2,3.9,3.8,5,4.6,"0","0","1","0","0",1,0,35,0,0,11,0,0,3,51,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3
"51","LU","7/11/24","SC_2024_NPZ_1_1","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",1,1,21,0,21,0,2,0,NA,0,0,0,7.1,5.1,4.9,4.7,5.3,"1","0","0","1","0",2,0,2,0,0,26,9,1,0,62,100,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.42
"52","LU","7/11/24","SC_2024_NPZ_1_2","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",1,2,15,14,1,0,0,0,NA,0,1,15,3.8,3.8,4.9,4,4.1,"0","0","0","1","0",1,0,68,0,8,10,6,0,0,8,100,0,0,0,0,0,5,0,10,0,0,0,0,0,15,4.12
"53","LU","7/11/24","SC_2024_NPZ_1_3","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",1,3,56,16,2,38,5,1,NA,0,1,17,4.1,6.2,4.6,5.1,5.3,"1","0","0","5","0",6,0,0,0,0,20,1,1,4,74,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06
"54","LU","7/11/24","SC_2024_NPZ_1_4","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",1,4,30,11,4,15,0,0,NA,0,2,13,6,5.2,4.7,4.6,5.7,"1","0","0","5","0",6,0,0,0,0,15,6,1,5,73,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24
"55","LU","7/11/24","SC_2024_NPZ_1_5","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",1,5,17,8,7,2,0,0,NA,0,4,12,6.4,5.5,5.9,4.7,5.5,"1","0","1","2","0",4,0,0,0,0,20,0.1,1,10,69,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
"56","LU","7/11/24","SC_2024_NPZ_2_1","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",2,1,27,0,1,26,2,0,NA,0,0,0,6.7,6.8,6.2,6.2,5.1,"1","0","0","2","0",3,0,0,0,0,17,9,1,0.1,73,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
"57","LU","7/11/24","SC_2024_NPZ_2_2","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",2,2,39,3,13,23,1,0,NA,0,4,7,6.3,5.4,5.6,4.6,5.8,"0","0","0","2","0",2,0,0,0,0,15,8,0,7,70,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54
"58","LU","7/11/24","SC_2024_NPZ_2_3","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",2,3,33,12,0,21,1,0,NA,0,0,12,4.2,3.9,4.4,4,5.1," "," "," "," "," ",0,0,0,0,0,11,8,0,1,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32
"59","LU","7/11/24","SC_2024_NPZ_2_4","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",2,4,43,8,3,32,0,0,NA,0,3,11,4.7,4.9,3.9,4.7,4,"2","1","0","1","0",4,0,0,0,0,23,4,0,10,63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44
"60","LU","7/11/24","SC_2024_NPZ_2_5","SC",43.3032,-124.3974,"6/24/24",2024,"CA","VB","NPZ",2,5,25,0,6,19,0,0,NA,0,0,0,4.8,3.2,4.5,5.3,5,"1","0","0","1","0",2,0,0,0,0,72,3,0,15,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56
