Site,SiteCode,Latitude,Longitude,Region,State
Fogarty Creek,FC,44.8386,-124.05875,Cape Foulweather,Oregon
Boiler Bay,BB,44.8303,-124.0607,Cape Foulweather,Oregon
Yachats Beach,YB,44.3114,-124.1086,Cape Perpetua,Oregon
Strawberry Hill,SH,44.24923,-124.1154,Cape Perpetua,Oregon
Sunset Bay,SB,43.3339,-124.3767,Cape Arago,Oregon
South Cove,SC,43.3032,-124.3974,Cape Arago,Oregon
Cape Blanco,CB,42.83969,-124.5651,Cape Blanco,Oregon
Rocky Point,RP,42.71666,-124.467,Cape Blanco,Oregon
Whiskey Creek,WC,42.2229,-124.383,Southern Oregon,Oregon
Chetco Point,CP,42.0434,-124.2899,Southern Oregon,Oregon
MendocinoNorth,MN,40.3409996,-124.36317,Cape Mendocino,California
MendocinoSouth,MS,40.3409996,-124.36317,Cape Mendocino,California