Site,SiteCode,Latitude,Longitude,Region,State,Susceptibility
Fogarty Creek,FC,44.8386,-124.05875,Cape Foulweather,Oregon,Unlikely
Boiler Bay,BB,44.8303,-124.0607,Cape Foulweather,Oregon,Unlikely
Yachats Beach,YB,44.3114,-124.1086,Cape Perpetua,Oregon,Extremely unlikely 
Strawberry Hill,SH,44.24923,-124.1154,Cape Perpetua,Oregon,Extremely unlikely 
Sunset Bay,SB,43.3339,-124.3767,Cape Arago,Oregon,Unlikely
South Cove,SC,43.3032,-124.3974,Cape Arago,Oregon,Possible
Cape Blanco,CB,42.83969,-124.5651,Cape Blanco,Oregon,Possible
Rocky Point,RP,42.71666,-124.467,Cape Blanco,Oregon,Possible
Whiskey Creek,WC,42.2229,-124.383,Southern Oregon,Oregon,Possible
Chetco Point,CP,42.0434,-124.2899,Southern Oregon,Oregon,Possible